issue_date,target_ts,y_true,y_tso,lstm_p10,lstm_p50,lstm_p90,xgb_p10,xgb_p50,xgb_p90
2025-12-17,2025-12-17 20:45:00+00:00,14699.74,14488.33,13552.798444824219,14471.271080093384,15091.106672363281,14418.6005078125,14902.093427734375,15358.005720214844
2025-12-17,2025-12-17 21:00:00+00:00,14421.76,14282.66,13335.404934082031,14246.32079711914,14863.597622070312,14067.293270263672,14619.852962646484,15101.133999023437
2025-12-17,2025-12-17 21:15:00+00:00,14300.07,14070.76,13117.157705078125,14021.850480804444,14636.434926757813,13841.851400146485,14352.44960571289,14901.101186523438
2025-12-17,2025-12-17 21:30:00+00:00,14085.43,13835.93,12878.817573242188,13779.221622161866,14387.822211914063,13607.537208251953,14125.397010498047,14718.239814453125
2025-12-17,2025-12-17 21:45:00+00:00,13842.16,13533.24,12575.628000488281,13473.603605499267,14072.768503417969,13272.948312988281,13813.164011230469,14424.143869628906
2025-12-17,2025-12-17 22:00:00+00:00,13502.95,13258.25,12288.330688476562,13173.072860717773,13776.239990234375,13034.557586669922,13490.794723510742,14140.659484863281
2025-12-17,2025-12-17 22:15:00+00:00,13276.8,13012.52,12037.62272216797,12911.232982177735,13513.082774658204,12786.65656616211,13248.687922973633,13894.50699951172
2025-12-17,2025-12-17 22:30:00+00:00,13056.26,12844.47,11867.447233886718,12732.733206481933,13328.50091430664,12679.036772460937,13149.551329345702,13714.538420410156
2025-12-17,2025-12-17 22:45:00+00:00,12917.08,12658.44,11682.31567138672,12541.404920043946,13126.779263916016,12426.124005737305,12871.930478515626,13519.828977050782
2025-12-24,2025-12-23 23:00:00+00:00,11927.55,11896.4,10595.521459960937,11337.812170410156,12385.725469970703,11332.625524902343,11879.6244682312,12855.07462158203
2025-12-24,2025-12-23 23:15:00+00:00,11712.12,11724.21,10340.154580078124,11133.926186523437,12150.62973876953,11161.88706298828,11670.62933441162,12603.327126464843
2025-12-24,2025-12-23 23:30:00+00:00,11606.98,11642.64,10165.233139648437,10981.531052246093,12020.200546875,11076.50944580078,11597.98774017334,12417.738510742187
2025-12-24,2025-12-23 23:45:00+00:00,11397.34,11568.83,10010.820234375,10847.012800292969,11903.77937133789,11001.0926953125,11508.687242584228,12339.2626171875
2025-12-24,2025-12-24 00:00:00+00:00,11256.94,11431.87,9837.889287109376,10661.297551269532,11731.51715576172,10864.92242919922,11458.974570388795,12228.12146484375
2025-12-24,2025-12-24 00:15:00+00:00,11206.79,11397.9,9784.415380859375,10596.605627441406,11672.085577392578,10829.722631835937,11396.059063577652,12188.360632324218
2025-12-24,2025-12-24 00:30:00+00:00,11045.46,11300.75,9689.865966796875,10489.740661621094,11553.550689697266,10746.82470703125,11328.167795181274,12092.207641601562
2025-12-24,2025-12-24 00:45:00+00:00,11040.04,11246.03,9652.793916015626,10440.2536328125,11483.042939453126,10685.659699707032,11270.815718917847,12011.372895507813
2025-12-24,2025-12-24 01:00:00+00:00,10990.93,11203.59,9617.473544921875,10397.654758300781,11431.096622314453,10614.12466796875,11159.385120239258,11930.971042480469
2025-12-24,2025-12-24 01:15:00+00:00,10890.91,11109.07,9553.257255859375,10315.866997070312,11316.709709472656,10525.952934570312,11148.371181793213,11836.451042480468
2025-12-24,2025-12-24 01:30:00+00:00,10820.43,11129.68,9604.76447265625,10351.407233886719,11320.408759765625,10569.309699707032,11165.224216156006,11907.520087890625
2025-12-24,2025-12-24 01:45:00+00:00,10784.85,11190.2,9690.928271484376,10422.824267578126,11366.839251708985,10629.829699707032,11187.937684965134,11898.51787109375
2025-12-24,2025-12-24 02:00:00+00:00,10804.0,11154.8,9665.984692382812,10387.089428710937,11323.422100830077,10594.42969970703,11157.466608095168,11919.814770507812
2025-12-24,2025-12-24 02:15:00+00:00,10777.55,11152.26,9677.159047851563,10385.919790039063,11308.506856689453,10591.889699707031,11109.00600982666,11917.274770507813
2025-12-24,2025-12-24 02:30:00+00:00,10801.83,11178.67,9714.362504882813,10414.467485351563,11324.265977783203,10621.098161621094,11136.005777282715,11847.369157714844
2025-12-24,2025-12-24 02:45:00+00:00,10820.07,11207.27,9752.932475585938,10446.122661132813,11343.040111083985,10648.281474609375,11150.513431091309,11840.552531738282
2025-12-24,2025-12-24 03:00:00+00:00,10871.35,11257.08,9801.749921875,10500.357282714844,11386.942274169922,10674.877973632812,11130.261838989258,11927.37638671875
2025-12-24,2025-12-24 03:15:00+00:00,10799.86,11341.62,9893.349248046876,10590.125798339845,11459.505902404786,10752.972966308595,11205.358250732423,11967.990727539063
2025-12-24,2025-12-24 03:30:00+00:00,10908.91,11486.17,10045.343095703125,10740.061479492188,11593.771219177246,10913.116655273438,11348.236497802734,11953.301744384766
2025-12-24,2025-12-24 03:45:00+00:00,10960.23,11496.38,10064.056513671874,10755.942072753905,11594.949343566894,10912.050471191405,11271.495249633788,11909.127619628905
2025-12-24,2025-12-24 04:00:00+00:00,11172.5,11683.64,10248.485825195312,10953.686264648437,11777.055306091308,11048.15690673828,11550.42189086914,12224.255112304687
2025-12-24,2025-12-24 04:15:00+00:00,11152.21,11856.5,10425.04736328125,11134.894165039062,11938.740371704102,11180.854736328125,11615.341888427734,12383.807250976562
2025-12-24,2025-12-24 04:30:00+00:00,11277.96,11475.98,10053.149555664062,10763.53108642578,11549.557476501464,10609.566975097656,11052.913563232421,11883.86198852539
2025-12-24,2025-12-24 04:45:00+00:00,11360.38,11662.22,10245.99001953125,10958.538969726562,11726.789709777831,10787.550505371093,11177.751829833984,11972.35052368164
2025-12-24,2025-12-24 05:00:00+00:00,11621.1,11893.52,10486.238994140625,11199.726909179688,11979.468143005372,11036.184001464844,11501.790080566407,12278.676280517579
2025-12-24,2025-12-24 05:15:00+00:00,11649.77,12129.63,10744.807124023437,11461.75384033203,12224.99985015869,11266.03087890625,11661.317347412109,12605.792658691405
2025-12-24,2025-12-24 05:30:00+00:00,11651.73,12320.44,10955.401791992188,11677.323666992188,12425.611562194825,11422.673032226563,11823.953641357422,12786.730893554688
2025-12-24,2025-12-24 05:45:00+00:00,11757.93,12504.76,11156.30638671875,11884.504873046875,12619.061048278809,11596.901540527344,11893.058950195313,12957.64119506836
