issue_date,target_ts,is_holiday_or_weekend,y_true,naive,lstm_clip_p50,xgb50_p50,xgb47_p50
2026-03-18,2026-03-17 23:15:00+00:00,False,88.9,113.4,82.23184967041016,88.05767059326172,90.93362426757812
2026-03-18,2026-03-17 23:30:00+00:00,False,87.39,105.6,81.52285766601562,85.79019927978516,89.04676055908203
2026-03-18,2026-03-17 23:45:00+00:00,False,87.21,102.92,79.89141845703125,87.2614517211914,88.19518280029297
2026-03-18,2026-03-18 00:00:00+00:00,False,89.64,106.31,78.37533569335938,86.08929443359375,88.24836730957031
2026-03-18,2026-03-18 00:15:00+00:00,False,86.64,105.9,76.92574310302734,82.40467071533203,84.2455825805664
2026-03-18,2026-03-18 00:30:00+00:00,False,85.83,106.04,75.56173706054688,82.95842742919922,85.22970581054688
2026-03-18,2026-03-18 00:45:00+00:00,False,84.8,104.09,74.5113525390625,81.57987976074219,84.11486053466797
2026-03-18,2026-03-18 01:00:00+00:00,False,86.58,107.47,72.71228790283203,83.271728515625,83.56505584716797
2026-03-18,2026-03-18 01:15:00+00:00,False,85.39,107.4,71.93445587158203,83.22793579101562,84.24663543701172
2026-03-18,2026-03-18 01:30:00+00:00,False,85.27,106.07,71.45262145996094,82.61651611328125,83.56282806396484
2026-03-18,2026-03-18 01:45:00+00:00,False,85.5,104.75,71.3829345703125,81.35818481445312,82.94905853271484
2026-03-18,2026-03-18 02:00:00+00:00,False,86.15,106.0,73.04168701171875,81.22953033447266,82.9002456665039
2026-03-18,2026-03-18 02:15:00+00:00,False,86.5,106.23,73.95942687988281,80.89022064208984,83.53740692138672
2026-03-18,2026-03-18 02:30:00+00:00,False,87.09,107.3,74.95193481445312,80.66107940673828,83.33458709716797
2026-03-18,2026-03-18 02:45:00+00:00,False,87.73,106.56,75.98385620117188,81.07244110107422,83.74828338623047
2026-03-18,2026-03-18 03:00:00+00:00,False,87.93,110.82,77.59597778320312,82.8231430053711,84.6480941772461
2026-03-18,2026-03-18 03:15:00+00:00,False,88.88,109.33,79.4180908203125,84.40858459472656,87.3188705444336
2026-03-18,2026-03-18 03:30:00+00:00,False,89.06,109.02,81.63389587402344,86.33477020263672,88.47979736328125
2026-03-18,2026-03-18 03:45:00+00:00,False,89.47,110.95,84.07418060302734,86.87107849121094,90.31324768066406
2026-03-18,2026-03-18 04:00:00+00:00,False,89.0,107.87,86.30401611328125,88.6695556640625,91.64471435546875
2026-03-18,2026-03-18 04:15:00+00:00,False,91.52,109.99,89.18147277832031,91.68663024902344,96.55917358398438
2026-03-18,2026-03-18 04:30:00+00:00,False,102.84,123.6,91.72820281982422,94.94087982177734,97.77986907958984
2026-03-18,2026-03-18 04:45:00+00:00,False,116.86,138.2,95.42529296875,100.851318359375,103.00809478759766
2026-03-18,2026-03-18 05:00:00+00:00,False,112.58,131.8,101.96087646484375,104.29658508300781,107.73029327392578
2026-03-18,2026-03-18 05:15:00+00:00,False,130.68,144.0,107.83564758300781,108.4435806274414,110.29839324951172
2026-03-18,2026-03-18 05:30:00+00:00,False,137.42,153.52,113.25782775878906,109.99148559570312,112.48567199707031
2026-03-18,2026-03-18 05:45:00+00:00,False,142.28,162.54,117.67753601074219,111.3271484375,112.30465698242188
2026-03-18,2026-03-18 06:00:00+00:00,False,150.2,173.97,120.09722137451172,114.14352416992188,118.46460723876953
2026-03-18,2026-03-18 06:15:00+00:00,False,148.81,173.88,121.04694366455078,112.65665435791016,115.39794158935547
2026-03-18,2026-03-18 06:30:00+00:00,False,132.01,174.17,120.0828628540039,108.49651336669922,110.76634979248047
2026-03-18,2026-03-18 06:45:00+00:00,False,103.35,149.9,118.22520446777344,104.15455627441406,106.54180908203125
2026-03-18,2026-03-18 07:00:00+00:00,False,131.43,192.66,116.2502670288086,108.86321258544922,109.48705291748047
2026-03-18,2026-03-18 07:15:00+00:00,False,106.9,160.19,110.72734832763672,95.85173034667969,97.01569366455078
2026-03-18,2026-03-18 07:30:00+00:00,False,87.69,140.16,104.67532348632812,83.97673797607422,88.19988250732422
2026-03-18,2026-03-18 07:45:00+00:00,False,73.73,117.04,98.92166900634766,73.38895416259766,77.79199981689453
2026-03-18,2026-03-18 08:00:00+00:00,False,99.91,149.95,91.2442626953125,75.58692169189453,80.5516128540039
2026-03-18,2026-03-18 08:15:00+00:00,False,81.06,127.09,82.04571533203125,68.23030090332031,70.1551513671875
2026-03-18,2026-03-18 08:30:00+00:00,False,57.31,112.07,74.47277069091797,58.9467887878418,58.62642288208008
2026-03-18,2026-03-18 08:45:00+00:00,False,13.52,107.18,68.82820129394531,55.11897277832031,55.84485626220703
2026-03-18,2026-03-18 09:00:00+00:00,False,37.56,130.97,60.04063415527344,44.55612564086914,47.15167999267578
2026-03-18,2026-03-18 09:15:00+00:00,False,3.45,104.59,54.17912292480469,40.17142105102539,42.180259704589844
2026-03-18,2026-03-18 09:30:00+00:00,False,-0.01,98.41,49.375152587890625,27.16884422302246,26.98461151123047
2026-03-18,2026-03-18 09:45:00+00:00,False,-1.01,100.59,45.19883728027344,16.180315017700195,15.725578308105469
2026-03-18,2026-03-18 10:00:00+00:00,False,-0.06,103.19,41.733642578125,18.3582820892334,18.745874404907227
2026-03-18,2026-03-18 10:15:00+00:00,False,-1.85,99.0,39.024192810058594,18.697294235229492,16.09994125366211
2026-03-18,2026-03-18 10:30:00+00:00,False,-2.21,97.64,36.91950988769531,20.608060836791992,16.962337493896484
2026-03-18,2026-03-18 10:45:00+00:00,False,-2.36,102.77,35.493263244628906,16.495298385620117,13.30337905883789
2026-03-18,2026-03-18 11:00:00+00:00,False,-2.08,95.36,33.51665496826172,16.07473373413086,14.143359184265137
2026-03-18,2026-03-18 11:15:00+00:00,False,-2.51,95.3,31.403160095214844,12.337688446044922,11.099408149719238
2026-03-18,2026-03-18 11:30:00+00:00,False,-2.32,95.32,30.247802734375,12.337688446044922,8.909050941467285
2026-03-18,2026-03-18 11:45:00+00:00,False,-2.33,94.93,30.2017822265625,14.652914047241211,10.02574348449707
2026-03-18,2026-03-18 12:00:00+00:00,False,-3.32,97.0,30.059776306152344,11.429267883300781,7.823639869689941
2026-03-18,2026-03-18 12:15:00+00:00,False,-3.3,97.11,29.689796447753906,12.285972595214844,9.22053337097168
2026-03-18,2026-03-18 12:30:00+00:00,False,-3.11,95.99,30.565765380859375,13.217388153076172,9.55409049987793
2026-03-18,2026-03-18 12:45:00+00:00,False,-1.12,96.96,31.979782104492188,21.71509552001953,19.38595962524414
2026-03-18,2026-03-18 13:00:00+00:00,False,-1.01,96.62,35.78795623779297,15.791694641113281,16.326976776123047
2026-03-18,2026-03-18 13:15:00+00:00,False,-0.47,100.26,37.738433837890625,22.402904510498047,22.799755096435547
2026-03-18,2026-03-18 13:30:00+00:00,False,-0.01,98.63,39.85224914550781,29.94936180114746,29.83115005493164
2026-03-18,2026-03-18 13:45:00+00:00,False,2.38,101.79,42.600921630859375,39.052616119384766,39.611907958984375
2026-03-18,2026-03-18 14:00:00+00:00,False,3.32,99.67,48.36558532714844,47.86815643310547,50.91716003417969
2026-03-18,2026-03-18 14:15:00+00:00,False,13.98,105.55,55.28821563720703,59.505985260009766,59.96481704711914
2026-03-18,2026-03-18 14:30:00+00:00,False,71.27,115.85,62.736717224121094,68.70697784423828,71.13518524169922
2026-03-18,2026-03-18 14:45:00+00:00,False,100.21,127.36,70.48249816894531,80.321044921875,80.9995346069336
2026-03-18,2026-03-18 15:00:00+00:00,False,65.39,111.7,82.24256896972656,82.46881866455078,82.74687957763672
2026-03-18,2026-03-18 15:15:00+00:00,False,93.91,124.41,94.21833801269531,92.88055419921875,93.78132629394531
2026-03-18,2026-03-18 15:30:00+00:00,False,124.98,136.44,106.41316986083984,110.55423736572266,112.22979736328125
2026-03-18,2026-03-18 15:45:00+00:00,False,143.85,154.56,118.494384765625,121.30816650390625,123.43820190429688
2026-03-18,2026-03-18 16:00:00+00:00,False,101.5,128.04,132.3656463623047,114.33654022216797,110.74040222167969
2026-03-18,2026-03-18 16:15:00+00:00,False,135.89,146.71,145.37591552734375,137.2738494873047,137.4807586669922
2026-03-18,2026-03-18 16:30:00+00:00,False,159.28,163.18,155.29129028320312,140.0850067138672,141.69717407226562
2026-03-18,2026-03-18 16:45:00+00:00,False,184.18,210.88,162.2432861328125,147.6284637451172,148.9379119873047
2026-03-18,2026-03-18 17:00:00+00:00,False,163.03,191.32,169.1761016845703,157.39297485351562,153.7591094970703
2026-03-18,2026-03-18 17:15:00+00:00,False,176.81,211.88,173.2168426513672,159.3837890625,153.86111450195312
2026-03-18,2026-03-18 17:30:00+00:00,False,185.72,214.99,175.66468811035156,165.39410400390625,160.67620849609375
2026-03-18,2026-03-18 17:45:00+00:00,False,184.93,211.0,175.80465698242188,168.45635986328125,171.62515258789062
2026-03-18,2026-03-18 18:00:00+00:00,False,192.59,213.68,173.90773010253906,162.85157775878906,160.36680603027344
2026-03-18,2026-03-18 18:15:00+00:00,False,180.55,179.15,171.193359375,160.7817840576172,158.1416778564453
2026-03-18,2026-03-18 18:30:00+00:00,False,165.4,145.91,166.93417358398438,158.2991180419922,158.4771270751953
2026-03-18,2026-03-18 18:45:00+00:00,False,142.25,142.79,162.7063446044922,155.41363525390625,154.94517517089844
2026-03-18,2026-03-18 19:00:00+00:00,False,164.64,163.42,153.7836456298828,150.73892211914062,151.4521026611328
2026-03-18,2026-03-18 19:15:00+00:00,False,152.01,145.11,147.5768280029297,142.32901000976562,140.3676300048828
2026-03-18,2026-03-18 19:30:00+00:00,False,141.73,138.16,142.0201416015625,135.05300903320312,138.1494903564453
2026-03-18,2026-03-18 19:45:00+00:00,False,135.58,130.26,137.12796020507812,134.81393432617188,137.3585968017578
2026-03-18,2026-03-18 20:00:00+00:00,False,144.97,145.27,131.0716552734375,130.7305908203125,135.88424682617188
2026-03-18,2026-03-18 20:15:00+00:00,False,138.95,135.27,126.30216217041016,126.31027221679688,131.0245819091797
2026-03-18,2026-03-18 20:30:00+00:00,False,128.12,126.53,121.91812133789062,123.65296173095703,129.1688995361328
2026-03-18,2026-03-18 20:45:00+00:00,False,116.19,112.09,117.6870346069336,120.06710052490234,121.64745330810547
2026-03-18,2026-03-18 21:00:00+00:00,False,136.99,133.69,112.41436004638672,130.11741638183594,130.28846740722656
2026-03-18,2026-03-18 21:15:00+00:00,False,126.01,119.28,109.05218505859375,126.15435791015625,124.74066925048828
2026-03-18,2026-03-18 21:30:00+00:00,False,118.13,105.7,105.65682220458984,127.0133285522461,125.08809661865234
2026-03-18,2026-03-18 21:45:00+00:00,False,113.97,98.29,102.65728759765625,118.31018829345703,115.23578643798828
2026-03-18,2026-03-18 22:00:00+00:00,False,123.2,108.21,98.46554565429688,114.93048858642578,113.99491882324219
2026-03-18,2026-03-18 22:15:00+00:00,False,112.63,101.67,95.74065399169922,112.15101623535156,106.80402374267578
2026-03-18,2026-03-18 22:30:00+00:00,False,111.5,98.12,93.49996185302734,105.02015686035156,102.91963195800781
2026-03-18,2026-03-18 22:45:00+00:00,False,106.17,93.83,91.54460144042969,97.47444152832031,97.25132751464844
2026-03-19,2026-03-18 23:00:00+00:00,False,113.04,95.7,77.48625183105469,126.46434020996094,131.14047241210938
